layer,events,associated_48h,clean_48h,stageII_clean_48h,associated_48h_rate,clean_48h_rate,stageII_clean_48h_rate,layer_label
moisture_4in,4276,3404,2626,1471,0.7960710944808232,0.6141253507951356,0.3440130963517306,4 in
moisture_8in,1014,805,450,204,0.7938856015779092,0.4437869822485207,0.20118343195266272,8 in
moisture_12in,624,516,349,94,0.8269230769230769,0.5592948717948718,0.15064102564102563,12 in
moisture_16in,634,480,375,61,0.7570977917981072,0.5914826498422713,0.09621451104100946,16 in
moisture_20in,599,315,244,43,0.5258764607679466,0.4073455759599332,0.07178631051752922,20 in
