site_id,layer,segment,subset,main_subset,curve_rmse_to_main_mm,curve_mae_to_main_mm,curve_bias_to_main_mm,curve_max_abs_to_main_mm,overlap_min_h,overlap_max_h
125,moisture_12in,post3_late_storage,clean_48h,clean_stageII_48h,2.4335888624769724,1.9969326844261086,-0.9396154880616995,6.029248963430465,0.125,117.625
125,moisture_12in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,117.625
125,moisture_12in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,117.625
125,moisture_12in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,117.625
125,moisture_12in,post3_mid_storage,all_events,clean_stageII_48h,2.316579087452011,2.0164941358336104,2.0164941358336104,4.305110400282922,0.061458333333330645,34.82291666666667
125,moisture_12in,post3_mid_storage,clean_48h,clean_stageII_48h,2.323423341305565,2.0288552330495304,2.0288552330495304,4.303395581429678,0.061458333333330645,34.82291666666667
125,moisture_12in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.061458333333330645,34.82291666666667
125,moisture_12in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.061458333333330645,34.82291666666667
125,moisture_12in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.061458333333330645,34.82291666666667
125,moisture_16in,early_0_3h,all_events,clean_stageII_48h,1.3870591898452997,0.8558244823427537,-0.8275029089647512,3.1307367185370865,0.0,6.9861263736263695
125,moisture_16in,early_0_3h,clean_48h,clean_stageII_48h,1.2013920329108954,0.8544314463032274,-0.8544314463032274,1.922705103237373,0.0,8.24285714285714
125,moisture_16in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,23.24285714285714
125,moisture_16in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,23.24285714285714
125,moisture_16in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,23.24285714285714
125,moisture_16in,post3_late_storage,all_events,clean_stageII_48h,1.0429848887267994,1.0091619666756713,1.0091619666756713,1.6125845400408458,0.25,82.48214285714285
125,moisture_16in,post3_late_storage,clean_48h,clean_stageII_48h,0.8704918359273655,0.8226883799704644,0.8226883799704644,1.3511273085986275,0.25,82.48214285714285
125,moisture_16in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,82.48214285714285
125,moisture_16in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,82.48214285714285
125,moisture_16in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,82.48214285714285
125,moisture_16in,post3_mid_storage,all_events,clean_stageII_48h,0.17769450156313854,0.09766934004434671,0.09399468423867464,0.47020071664132246,0.0,9.476190476190474
125,moisture_16in,post3_mid_storage,clean_48h,clean_stageII_48h,0.23854367873822435,0.12863812566010643,0.12721255405132312,0.6208176461810346,0.0,9.476190476190474
125,moisture_16in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,9.476190476190474
125,moisture_16in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,9.476190476190474
125,moisture_16in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,9.476190476190474
125,moisture_20in,early_0_3h,all_events,clean_stageII_48h,0.5882429652885612,0.42924030019521214,-0.42187255442261334,2.3217973844048707,0.0,37.792972359251436
125,moisture_20in,early_0_3h,clean_48h,clean_stageII_48h,0.5032858906034963,0.4256545258750974,-0.2932361433810452,0.9414874917356428,0.0,41.35681818181819
125,moisture_20in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,47.35681818181819
125,moisture_20in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,47.35681818181819
125,moisture_20in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,0.3510593356910024,0.262109532114211,-0.08184621521852983,0.728332765105467,0.0,47.35681818181819
125,moisture_20in,post3_late_storage,all_events,clean_stageII_48h,0.461120525522863,0.27721700036539354,0.277166790449568,1.539903846262316,0.125,77.83333333333334
125,moisture_20in,post3_late_storage,clean_48h,clean_stageII_48h,0.35357906200071104,0.19012937747520336,0.1876712466621144,1.2494173792843846,0.125,77.83333333333334
125,moisture_20in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,77.83333333333334
125,moisture_20in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,77.83333333333334
125,moisture_20in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.12062739923574982,0.06173733129847023,-0.06033306065896418,0.29270266525642796,0.125,76.025
125,moisture_4in,early_0_3h,all_events,clean_stageII_48h,4.497789890446149,4.2482135020266165,-4.2482135020266165,6.435627296756943,0.2547371561694871,99.92807539682539
125,moisture_4in,early_0_3h,clean_48h,clean_stageII_48h,3.273055545602866,3.0532796008979606,-3.0421801969060174,4.837411762877519,0.3238636363636341,88.94291125541126
125,moisture_4in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,125.61904761904762
125,moisture_4in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,125.61904761904762
125,moisture_4in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,4.55317850439833,4.0844698016469785,-4.0844698016469785,9.928348342782954,0.25,47.4681919642857
125,moisture_4in,post3_late_storage,all_events,clean_stageII_48h,1.102191552311094,0.9164026096546698,-0.3909223919156638,2.204658299182963,0.5,268.0
125,moisture_4in,post3_late_storage,clean_48h,clean_stageII_48h,1.8905734015817772,1.5457317815112566,-1.2691589031837047,4.899446498835443,0.5,215.02380952380952
125,moisture_4in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.5,268.0
125,moisture_4in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.5,268.0
125,moisture_4in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,3.052779368876485,2.7626295742988956,-2.7626295742988956,6.006833411824459,0.5,137.5
