layer,segment,subset,local_model_pairs,median_curve_rmse_to_main_mm,mean_curve_rmse_to_main_mm,median_curve_bias_to_main_mm,median_curve_max_abs_to_main_mm
moisture_4in,post3_mid_storage,clean_stageII_48h_no405,27,0.0,0.0,0.0,0.0
moisture_4in,post3_mid_storage,clean_stageII_48h_site_balanced,28,1.3646219659942296,2.0253728631611456,-1.019711037880584,3.4700656290242464
moisture_8in,early_0_3h,all_events,10,3.973847852646129,4.618691175160562,3.3224911224750313,7.210573157918756
moisture_8in,early_0_3h,clean_48h,10,3.3256095423517973,3.9014651696406437,2.702734497260357,6.434743097850075
moisture_8in,early_0_3h,clean_stageII_48h,10,0.0,0.0,0.0,0.0
moisture_8in,early_0_3h,clean_stageII_48h_no405,9,0.0,0.0,0.0,0.0
moisture_8in,early_0_3h,clean_stageII_48h_site_balanced,10,0.0,0.0,0.0,0.0
moisture_8in,post3_late_storage,all_events,10,3.147466791550764,3.812864165645215,2.6768033630573056,5.538988329775062
moisture_8in,post3_late_storage,clean_48h,10,0.9895622280993377,1.6672478567120195,0.8667369929519678,1.8233360123625992
moisture_8in,post3_late_storage,clean_stageII_48h,10,0.0,0.0,0.0,0.0
moisture_8in,post3_late_storage,clean_stageII_48h_no405,9,0.0,0.0,0.0,0.0
moisture_8in,post3_late_storage,clean_stageII_48h_site_balanced,10,0.0,0.0,0.0,0.0
moisture_8in,post3_mid_storage,all_events,8,4.070702072270989,4.5015222310765095,3.450055027380812,7.5880875566646475
moisture_8in,post3_mid_storage,clean_48h,8,1.958754236994253,2.3947227784251304,1.5677707528603348,3.9371639160950416
moisture_8in,post3_mid_storage,clean_stageII_48h,8,0.0,0.0,0.0,0.0
moisture_8in,post3_mid_storage,clean_stageII_48h_no405,7,0.0,0.0,0.0,0.0
moisture_8in,post3_mid_storage,clean_stageII_48h_site_balanced,8,0.0,0.0,0.0,0.0
