site_id,layer,clean_stageII_48h_events,layer_label,support_class
440,moisture_20in,0,20 in,none
450,moisture_4in,101,4 in,strong
450,moisture_8in,18,8 in,eligible
450,moisture_12in,1,12 in,insufficient
450,moisture_16in,2,16 in,insufficient
450,moisture_20in,0,20 in,none
455,moisture_4in,98,4 in,strong
455,moisture_8in,6,8 in,insufficient
455,moisture_12in,4,12 in,insufficient
455,moisture_16in,0,16 in,none
455,moisture_20in,0,20 in,none
460,moisture_4in,36,4 in,strong
460,moisture_8in,9,8 in,eligible
460,moisture_12in,5,12 in,insufficient
460,moisture_16in,3,16 in,insufficient
460,moisture_20in,0,20 in,none
470,moisture_4in,5,4 in,insufficient
470,moisture_8in,0,8 in,none
470,moisture_12in,0,12 in,none
470,moisture_16in,0,16 in,none
470,moisture_20in,0,20 in,none
480,moisture_4in,47,4 in,strong
480,moisture_8in,3,8 in,insufficient
480,moisture_12in,1,12 in,insufficient
480,moisture_16in,1,16 in,insufficient
480,moisture_20in,1,20 in,insufficient
490,moisture_4in,32,4 in,strong
490,moisture_8in,14,8 in,eligible
490,moisture_12in,8,12 in,eligible
490,moisture_16in,1,16 in,insufficient
490,moisture_20in,0,20 in,none
