csr_x_h,moisture_mm,n_points,q25_mm,q75_mm,subset,site_id,layer,segment,segment_label,coord_mode
13.74107142857143,12.3952,1,12.3952,12.3952,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
13.99107142857143,12.28344,1,12.28344,12.28344,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
14.36607142857143,12.11072,2,12.08532,12.136120000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
14.74107142857143,13.02512,1,13.02512,13.02512,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
15.11607142857143,12.96924,2,12.95146,12.98702,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
15.49107142857143,12.86256,1,12.86256,12.86256,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
15.86607142857143,12.77112,2,12.75588,12.78636,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.24107142857143,12.66952,1,12.66952,12.66952,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.49107142857143,12.60856,1,12.60856,12.60856,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.86607142857143,12.50188,2,12.4841,12.51966,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
17.24107142857143,12.405360000000002,1,12.405360000000002,12.405360000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
17.61607142857143,12.45108,2,12.38758,12.514580000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
17.99107142857143,12.52728,1,12.52728,12.52728,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
18.36607142857143,12.35964,2,12.33678,12.3825,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
18.74107142857143,12.192,1,12.192,12.192,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
18.99107142857143,12.0904,1,12.0904,12.0904,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
19.36607142857143,11.93292,2,11.91006,11.95578,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
19.74107142857143,11.77544,1,11.77544,11.77544,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
20.11607142857143,11.6586,2,11.64082,11.67638,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
20.49107142857143,11.57224,1,11.57224,11.57224,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
20.74107142857143,11.87704,1,11.87704,11.87704,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
21.11607142857143,11.8618,2,11.85926,11.86434,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
21.49107142857143,11.84656,1,11.84656,11.84656,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
21.86607142857143,11.826240000000002,2,11.82116,11.831320000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.24107142857143,11.79576,1,11.79576,11.79576,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.61607142857143,11.79576,2,11.79576,11.79576,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.99107142857143,11.74496,1,11.74496,11.74496,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
23.24107142857143,11.734800000000002,1,11.734800000000002,11.734800000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
23.61607142857143,11.62304,2,11.57224,11.673839999999998,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
23.99107142857143,11.50112,1,11.50112,11.50112,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
24.36607142857143,11.46048,2,11.4554,11.46556,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
24.74107142857143,11.43,1,11.43,11.43,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
25.11607142857143,11.41984,2,11.41984,11.41984,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
25.49107142857143,11.39952,1,11.39952,11.39952,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
25.74107142857143,11.3792,1,11.3792,11.3792,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
26.11607142857143,11.34872,2,11.34364,11.3538,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
26.49107142857143,11.30808,1,11.30808,11.30808,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
26.86607142857143,11.47572,2,11.47318,11.47826,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.24107142857143,11.43,1,11.43,11.43,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.61607142857143,11.39952,2,11.39444,11.4046,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.99107142857143,11.34872,1,11.34872,11.34872,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
28.24107142857143,11.34872,1,11.34872,11.34872,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
28.61607142857143,11.26744,2,11.2522,11.28268,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
28.99107142857143,11.18616,1,11.18616,11.18616,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
29.36607142857143,11.0744,2,11.05916,11.08964,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
29.74107142857143,11.14552,1,11.14552,11.14552,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
29.99107142857143,11.04392,1,11.04392,11.04392,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
30.49107142857143,10.30224,3,9.76376,10.47496,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
30.750686813186817,9.6266,2,9.42594,9.82726,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
31.08198051948052,9.20496,5,9.1948,9.61136,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
31.500686813186817,9.13892,4,9.0805,9.25068,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
31.82402597402597,9.15924,6,9.07288,9.19226,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.25068681318682,9.02716,6,9.00684,9.03986,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.53818681318681,8.991600000000002,4,8.95096,9.05764,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.91152597402598,9.04748,8,8.97128,9.474200000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
33.28818681318681,9.00684,4,8.93064,9.41832,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
33.57402597402597,9.68756,4,8.89,10.46734,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
33.91152597402598,8.83412,4,8.770620000000001,9.27354,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
34.316071428571426,10.40384,3,9.54532,10.414,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
34.653571428571425,9.4996,2,9.06272,9.93648,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
34.99107142857143,10.34288,1,10.34288,10.34288,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
35.36607142857143,10.287,2,10.27938,10.294620000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
35.74107142857143,10.42416,1,10.42416,10.42416,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
36.11607142857143,10.39876,2,10.39622,10.4013,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
36.49107142857143,10.38352,1,10.38352,10.38352,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
36.86607142857143,10.36828,2,10.36574,10.370820000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
37.24107142857143,10.34288,1,10.34288,10.34288,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
37.49107142857143,10.30224,1,10.30224,10.30224,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
37.86607142857143,10.29208,2,10.287,10.297160000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.24107142857143,10.25144,1,10.25144,10.25144,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.61607142857143,9.98728,2,9.87044,10.10412,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.99107142857143,9.74344,1,9.74344,9.74344,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
39.24107142857143,9.74344,1,9.74344,9.74344,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
39.61607142857143,9.73328,2,9.7282,9.73836,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
39.99107142857143,9.702800000000002,1,9.702800000000002,9.702800000000002,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
40.36607142857143,9.66724,2,9.6647,9.66978,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
40.74107142857143,9.62152,1,9.62152,9.62152,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
41.11607142857143,9.5758,2,9.57326,9.57834,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
41.49107142857143,9.51992,1,9.51992,9.51992,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
41.74107142857143,9.62152,1,9.62152,9.62152,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
42.11607142857143,9.61136,2,9.61136,9.61136,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
42.49107142857143,9.6012,1,9.6012,9.6012,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
42.86607142857143,9.59104,2,9.58596,9.59612,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
43.24107142857143,9.56056,1,9.56056,9.56056,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
43.61607142857143,9.54024,2,9.53516,9.54532,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
43.99107142857143,9.4996,1,9.4996,9.4996,clean_stageII_48h,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
