site_id,event_id,layer,t_h,moisture_mm,start_mm,end_mm,total_drop_mm,duration_h,event_storage_norm,segment,segment_t_h,csr_x_h,subset
275,S275_moisture_4in_0075,moisture_4in,1.5,14.89456,15.6972,10.94232,4.754879999999998,17.5,0.8311965811965815,early_0_3h,1.5,1.9141483516483513,clean_stageII_48h
275,S275_moisture_4in_0075,moisture_4in,1.75,14.772639999999999,15.6972,10.94232,4.754879999999998,17.5,0.8055555555555556,early_0_3h,1.75,2.1641483516483513,clean_stageII_48h
275,S275_moisture_4in_0075,moisture_4in,2.0,14.66088,15.6972,10.94232,4.754879999999998,17.5,0.7820512820512824,early_0_3h,2.0,2.4141483516483513,clean_stageII_48h
275,S275_moisture_4in_0075,moisture_4in,2.25,14.538960000000001,15.6972,10.94232,4.754879999999998,17.5,0.7564102564102568,early_0_3h,2.25,2.6641483516483513,clean_stageII_48h
275,S275_moisture_4in_0075,moisture_4in,2.5,14.437360000000002,15.6972,10.94232,4.754879999999998,17.5,0.7350427350427355,early_0_3h,2.5,2.9141483516483513,clean_stageII_48h
275,S275_moisture_4in_0075,moisture_4in,2.75,14.35608,15.6972,10.94232,4.754879999999998,17.5,0.7179487179487182,early_0_3h,2.75,3.1641483516483513,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,0.0,15.51432,15.51432,12.65936,2.8549599999999984,5.0,1.0,early_0_3h,0.0,0.8080886504799548,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,0.25,15.42288,15.51432,12.65936,2.8549599999999984,5.0,0.9679715302491108,early_0_3h,0.25,1.058088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,0.5,15.26032,15.51432,12.65936,2.8549599999999984,5.0,0.9110320284697516,early_0_3h,0.5,1.308088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,0.75,15.036800000000001,15.51432,12.65936,2.8549599999999984,5.0,0.8327402135231328,early_0_3h,0.75,1.558088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,1.0,14.84376,15.51432,12.65936,2.8549599999999984,5.0,0.7651245551601428,early_0_3h,1.0,1.808088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,1.25,14.65072,15.51432,12.65936,2.8549599999999984,5.0,0.6975088967971536,early_0_3h,1.25,2.058088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,1.5,14.48816,15.51432,12.65936,2.8549599999999984,5.0,0.6405693950177943,early_0_3h,1.5,2.308088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,1.75,14.31544,15.51432,12.65936,2.8549599999999984,5.0,0.5800711743772249,early_0_3h,1.75,2.558088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,2.0,14.16304,15.51432,12.65936,2.8549599999999984,5.0,0.5266903914590754,early_0_3h,2.0,2.808088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,2.25,14.020800000000001,15.51432,12.65936,2.8549599999999984,5.0,0.47686832740213614,early_0_3h,2.25,3.058088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,2.5,13.87856,15.51432,12.65936,2.8549599999999984,5.0,0.42704626334519624,early_0_3h,2.5,3.308088650479955,clean_stageII_48h
275,S275_moisture_4in_0018,moisture_4in,2.75,13.73632,15.51432,12.65936,2.8549599999999984,5.0,0.37722419928825635,early_0_3h,2.75,3.558088650479955,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,0.0,15.01648,15.01648,9.530080000000002,5.486399999999998,29.0,1.0,early_0_3h,0.0,1.0884740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,0.25,14.955520000000002,15.01648,9.530080000000002,5.486399999999998,29.0,0.9888888888888893,early_0_3h,0.25,1.3384740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,0.5,14.81328,15.01648,9.530080000000002,5.486399999999998,29.0,0.9629629629629631,early_0_3h,0.5,1.5884740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,0.75,14.691360000000001,15.01648,9.530080000000002,5.486399999999998,29.0,0.940740740740741,early_0_3h,0.75,1.8384740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,1.0,14.538960000000001,15.01648,9.530080000000002,5.486399999999998,29.0,0.9129629629629632,early_0_3h,1.0,2.0884740259740275,clean_stageII_48h
