csr_x_h,csr_mm,raw_smooth_mm,subset,subset_label,site_id,layer,segment,segment_label,coord_mode
13.603147423352905,12.713432798453928,12.713432798453928,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
14.02433953033268,12.681246704853349,12.681246704853349,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
14.44553163731246,12.644396278512636,12.644396278512636,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
14.866723744292235,12.606609227104077,12.606609227104077,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
15.287915851272016,12.56721855125526,12.56721855125526,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
15.709107958251794,12.526803816707856,12.526803816707856,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.130300065231573,12.487244212765498,12.487244212765498,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.55149217221135,12.44434366243921,12.44434366243921,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
16.972684279191128,12.397329435187906,12.397329435187906,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
17.393876386170906,12.350935940463854,12.350935940463854,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
17.815068493150687,12.303737087791887,12.303737087791887,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
18.236260600130464,12.256144781610937,12.256144781610937,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
18.65745270711024,12.208760627495796,12.208760627495796,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
19.07864481409002,12.15855817793512,12.15855817793512,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
19.4998369210698,12.107028042490796,12.107028042490796,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
19.921029028049578,12.053239869872543,12.053239869872543,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
20.342221135029355,11.997749370594097,11.997749370594097,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
20.763413242009133,11.940172474863369,11.940172474863369,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
21.18460534898891,11.886333477343758,11.886333477343758,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
21.605797455968688,11.832897901013068,11.832897901013068,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.02698956294847,11.781947370496871,11.781947370496871,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.44818166992825,11.73380902209703,11.73380902209703,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
22.869373776908024,11.687733772964464,11.687733772964464,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
23.2905658838878,11.645555459363576,11.645555459363576,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
23.71175799086758,11.607517188124262,11.607517188124262,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
24.13295009784736,11.569648359241627,11.569648359241627,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
24.554142204827137,11.53138292274037,11.53138292274037,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
24.975334311806915,11.490380221496723,11.490380221496723,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
25.39652641878669,11.446371434908306,11.446371434908306,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
25.81771852576647,11.397886985002458,11.397886985002458,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
26.23891063274625,11.343184899633124,11.343184899633124,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
26.660102739726028,11.286748465693304,11.286748465693304,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.08129484670581,11.22536670051159,11.22536670051159,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.502486953685583,11.158259572525804,11.158259572525804,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
27.92367906066536,11.084748548873971,11.084748548873971,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
28.34487116764514,10.998956988122156,10.998956988122156,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
28.76606327462492,10.913323702593296,10.913323702593296,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
29.187255381604697,10.83040542677596,10.83040542677596,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
29.608447488584478,10.754417454792192,10.754417454792192,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
30.02963959556425,10.683286733943982,10.683286733943982,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
30.450831702544036,10.623080081875356,10.623080081875356,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
30.87202380952381,10.576202146425883,10.576202146425883,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
31.293215916503588,10.531588582061149,10.531588582061149,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
31.714408023483365,10.488880477599883,10.488880477599883,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.135600130463146,10.43808714068427,10.43808714068427,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.55679223744292,10.39198606920567,10.39198606920567,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
32.9779843444227,10.337063277493169,10.337063277493169,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
33.39917645140248,10.274731166251296,10.274731166251296,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
33.820368558382256,10.212302852680814,10.212302852680814,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
34.24156066536204,10.160877955564278,10.160877955564278,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
34.66275277234181,10.117231612349093,10.117231612349093,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
35.08394487932159,10.087419601338375,10.087419601338375,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
35.50513698630137,10.06782369590568,10.06782369590568,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
35.92632909328115,10.05048484382418,10.05048484382418,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
36.34752120026093,10.03517449376894,10.03517449376894,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
36.7687133072407,10.018807151587724,10.018807151587724,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
37.18990541422048,10.001547713497493,10.001547713497493,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
37.61109752120026,9.978913705224729,9.978913705224729,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.03228962818004,9.953229271302709,9.953229271302709,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.45348173515982,9.927632136279438,9.927632136279438,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
38.87467384213959,9.900283654130607,9.900283654130607,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
39.295865949119374,9.872561451085511,9.872561451085511,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
39.71705805609916,9.838826148650996,9.838826148650996,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
40.13825016307893,9.80367283319804,9.80367283319804,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
40.55944227005871,9.767207869467692,9.767207869467692,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
40.98063437703848,9.730877795540367,9.730877795540367,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
41.401826484018265,9.694084221306772,9.694084221306772,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
41.823018590998046,9.662228078300071,9.662228078300071,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
42.24421069797782,9.632970990664516,9.632970990664516,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
42.6654028049576,9.606495236167468,9.606495236167468,clean_stageII_48h,Clean 48h + stage-II-like events,275,moisture_4in,early_0_3h,"Early transient, 0-3 h",state_stitch
