site_id,layer,detected_events,associated_48h_events,clean_48h_events,clean_stageII_48h_events,stageII_like_events,fitted_segments,fitted_segment_names,min_segment_events,median_segment_events,total_segment_points,median_local_rmse_mm,median_local_mae_mm,support_class,csr_status,layer_label
230,moisture_8in,1,1,0,0,0,0,,0,,0,,,none,not fitted,8 in
230,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
230,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
230,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
240,moisture_4in,16,16,4,3,7,0,,0,,0,,,insufficient,not fitted,4 in
240,moisture_8in,3,3,1,0,1,0,,0,,0,,,none,not fitted,8 in
240,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
240,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
240,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
250,moisture_4in,17,16,9,5,9,0,,0,,0,,,insufficient,not fitted,4 in
250,moisture_8in,2,2,2,1,1,0,,0,,0,,,insufficient,not fitted,8 in
250,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
250,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
250,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
260,moisture_4in,162,109,78,62,122,3,"early_0_3h,post3_mid_storage,post3_late_storage",60,62.0,2684,1.1617342027771935,0.7390188208953014,strong,complete,4 in
260,moisture_8in,65,37,28,20,47,3,"early_0_3h,post3_mid_storage,post3_late_storage",20,20.0,1026,0.4064198838455964,0.277915382921636,eligible,complete,8 in
260,moisture_12in,12,11,5,2,5,0,,0,,0,,,insufficient,not fitted,12 in
260,moisture_16in,14,5,4,0,1,0,,0,,0,,,none,not fitted,16 in
260,moisture_20in,10,4,3,0,1,0,,0,,0,,,none,not fitted,20 in
270,moisture_4in,197,107,96,70,157,3,"early_0_3h,post3_mid_storage,post3_late_storage",58,69.0,2521,1.5231779810092592,0.4376303753448621,strong,complete,4 in
270,moisture_8in,40,22,19,10,24,3,"early_0_3h,post3_mid_storage,post3_late_storage",10,10.0,617,0.4672901935954735,0.291211488721203,eligible,complete,8 in
270,moisture_12in,4,2,2,0,0,0,,0,,0,,,none,not fitted,12 in
270,moisture_16in,10,3,3,0,2,0,,0,,0,,,none,not fitted,16 in
270,moisture_20in,28,10,8,1,4,0,,0,,0,,,insufficient,not fitted,20 in
275,moisture_4in,81,72,59,40,53,3,"early_0_3h,post3_mid_storage,post3_late_storage",36,40.0,1829,0.6277216193905684,0.3202206964678405,strong,complete,4 in
275,moisture_8in,9,9,7,4,5,0,,0,,0,,,insufficient,not fitted,8 in
275,moisture_12in,4,4,2,1,2,0,,0,,0,,,insufficient,not fitted,12 in
275,moisture_16in,2,2,0,0,2,0,,0,,0,,,none,not fitted,16 in
275,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
280,moisture_4in,44,37,27,19,29,3,"early_0_3h,post3_mid_storage,post3_late_storage",18,19.0,755,0.2082535932923145,0.1607071117585709,eligible,complete,4 in
280,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
280,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
280,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
280,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
290,moisture_4in,37,35,14,10,21,2,"early_0_3h,post3_late_storage",10,10.0,389,0.37249361432705713,0.23981640963418177,eligible,partial,4 in
290,moisture_8in,13,13,2,2,10,0,,0,,0,,,insufficient,not fitted,8 in
290,moisture_12in,5,5,0,0,3,0,,0,,0,,,none,not fitted,12 in
290,moisture_16in,4,4,0,0,4,0,,0,,0,,,none,not fitted,16 in
290,moisture_20in,4,4,0,0,4,0,,0,,0,,,none,not fitted,20 in
