layer,events,median_duration_h,median_total_drop_mm,associated_24h_rate,associated_48h_rate,interrupted_rate,median_lag_h,median_full_r2,median_trim3_r2,median_full_tau_h,median_trim3_tau_h,median_early3_drop_share,stageII_like_rate,stageI_like_rate,early_transient_heavy_rate,clean_24h_rate,clean_48h_rate,stageII_clean_48h_rate
moisture_12in,624,3.75,1.2278360000000021,0.6875,0.8269230769230769,0.27724358974358976,7.0,0.9828349174867582,0.9945609793297283,5.750553602591218,6.491176527559892,0.8614406956812569,0.32532051282051283,0.052884615384615384,0.594551282051282,0.4310897435897436,0.5592948717948718,0.15064102564102563
moisture_16in,634,2.0,0.9702799999999989,0.5741324921135647,0.7570977917981072,0.17350157728706625,14.25,0.9673295897717611,0.9954722500310413,4.362333754793166,5.455705649242387,1.0,0.19242902208201892,0.01892744479495268,0.7728706624605678,0.416403785488959,0.5914826498422713,0.09621451104100946
moisture_20in,599,1.25,0.8534400000000026,0.38898163606010017,0.5258764607679466,0.12186978297161936,16.5,0.954048877601091,0.9913196507396868,2.489501737084896,5.212595105071119,1.0,0.12353923205342238,0.01335559265442404,0.8480801335559266,0.27879799666110183,0.4073455759599332,0.07178631051752922
moisture_4in,4276,7.75,1.656080000000001,0.6690832553788587,0.7960710944808232,0.18638914873713752,3.75,0.9817756786119687,0.9939993610686936,11.112051350092333,6.4225239774638,0.49415184678522617,0.5631431244153414,0.07904583723105706,0.3117399438727783,0.4913470533208606,0.6141253507951356,0.3440130963517306
moisture_8in,1014,6.25,1.7119599999999986,0.7120315581854043,0.7938856015779092,0.358974358974359,0.25,0.9866986165028732,0.9948757352360721,7.2010485197739165,7.398655774691839,0.627072310405643,0.47830374753451677,0.05719921104536489,0.42011834319526625,0.3708086785009862,0.4437869822485207,0.20118343195266272
