layer,regime_proxy,events,median_during_vp_def_2m_kPa_mean,median_during_temp_air_2m_C_mean,median_during_rh_2m_pct_mean,median_during_wind_speed_10m_mph_mean,median_during_rfd_2m_wm2_mean,median_mean_loss_mm_h,median_post3_loss_storage_corr
moisture_12in,early-transient-heavy,371,0.33232121212121213,25.459954545454544,89.0913409090909,5.148333333333333,113.36341176470587,0.40640000000000215,-0.3132307369388224
moisture_12in,mixed_or_uncertain,17,0.7949629629629631,25.591,75.89839285714287,3.8003200000000006,330.30497142857143,0.19091348837209318,-0.23391120386903708
moisture_12in,stage-I-like,33,0.9515384615384614,29.44689655172414,72.9590909090909,6.6234074074074085,480.55937499999993,0.2105890909090912,0.04363456928082117
moisture_12in,stage-II-like,203,0.5319724596391263,26.223231386933676,84.01414502164502,4.60588,226.41866105015671,0.2509078260869561,0.7324975996102485
moisture_16in,early-transient-heavy,490,0.5785833333333334,26.115,81.76,6.4066363636363635,187.39399999999998,0.5858933333333334,-0.49196295165125115
moisture_16in,mixed_or_uncertain,10,1.0628982142857142,28.427113095238095,75.240375,5.621231707317073,279.27218014705886,0.2805288888888888,-0.2898672945961654
moisture_16in,stage-I-like,12,0.30864037558685453,25.28197712418301,91.19998356807511,3.6362763157894737,109.61460234741784,0.23989401088929224,-0.01259406494318678
moisture_16in,stage-II-like,122,0.4633012873754153,26.106229525862073,86.71661616161617,4.188580580580581,185.39905555555555,0.2568867480577136,0.8465286986302668
moisture_20in,early-transient-heavy,508,0.47825000000000006,23.955000000000002,82.423,6.195499999999999,45.18011428571428,0.7315199999999985,-0.10065717172821737
moisture_20in,mixed_or_uncertain,9,0.7980499999999999,27.554230769230763,77.4755,4.597785714285714,228.82032142857148,0.23029333333333304,-0.028653285266859584
moisture_20in,stage-I-like,8,1.2519842105263157,29.08382317801673,67.82900584795323,6.7089541666666666,514.7007309941521,0.20070074866310142,0.08802725874828848
moisture_20in,stage-II-like,74,0.4375277777777778,24.68559714795009,85.23273333333333,3.49504347826087,157.49330109945026,0.2822404853387259,0.8266450363556864
moisture_4in,early-transient-heavy,1333,0.24105263157894738,24.520833333333332,91.32250000000002,5.517545454545455,71.75915384615384,0.5064369230769231,-0.30060445332502944
moisture_4in,mixed_or_uncertain,197,0.8807074954296161,27.437323878167867,78.18025641025642,4.482866666666666,361.0715,0.17707428571428604,-0.259716296990837
moisture_4in,stage-I-like,338,0.9605266203703704,28.331811926605504,76.80062794348508,4.39772,472.8349011904762,0.18794877824978762,0.0388314283903487
moisture_4in,stage-II-like,2408,1.1784999999999997,28.02954545454545,71.39736842105263,4.9551333333333325,528.987294117647,0.19998689999999997,0.6461161435752364
moisture_8in,early-transient-heavy,426,0.2356333333333333,24.409375,91.5081730769231,5.174766666666667,49.132857142857155,0.3437134640522874,-0.23344126805267845
moisture_8in,mixed_or_uncertain,45,0.7912641509433963,25.224661016949156,77.182131147541,4.6931176470588225,289.75607627118643,0.21223111111111093,-0.06405561863266894
moisture_8in,stage-I-like,58,1.0648180112570356,28.310541666666666,75.79628205128205,4.940228260869565,445.68039298245617,0.19583400000000006,0.04220547574110552
moisture_8in,stage-II-like,485,0.6284273504273504,26.377381578947368,83.10071845289542,4.517214534594325,257.1043741626794,0.21539200000000022,0.7023194511489306
