site_id,layer,events,associated_24h_rate,associated_48h_rate,interrupted_rate,median_duration_h,median_drop_mm,median_trim3_r2,median_trim3_tau_h,median_early3_drop_share,stageII_like_rate,stageI_like_rate,early_transient_heavy_rate,during_vpd_mean,clean_24h_rate,clean_48h_rate,stageII_clean_48h_rate
110,moisture_12in,22,0.9090909090909091,0.9090909090909091,0.5454545454545454,5.0,2.245359999999998,0.9962551503256656,3.853268388624325,0.8027304904769934,0.5,0.045454545454545456,0.45454545454545453,0.1382177545921502,0.4090909090909091,0.4090909090909091,0.18181818181818182
110,moisture_16in,10,0.8,0.8,0.6,2.75,1.63068,0.9424470461391176,4.4858506383106365,0.9918831168831165,0.2,0.0,0.8,0.13696635822510822,0.3,0.3,0.1
110,moisture_20in,10,1.0,1.0,0.6,1.75,2.2555200000000024,0.6761691281065247,40.34582756737335,1.0,0.1,0.0,0.9,0.17297105458221024,0.4,0.4,0.0
110,moisture_4in,165,0.6606060606060606,0.7757575757575758,0.2727272727272727,7.75,1.4122400000000006,0.9939777427348464,5.641887445316166,0.4722222222222224,0.46060606060606063,0.06666666666666667,0.30303030303030304,0.8402169832248791,0.40606060606060607,0.5151515151515151,0.2545454545454545
110,moisture_8in,52,0.8461538461538461,0.8846153846153846,0.36538461538461536,3.75,1.0922,0.9944942777789332,6.700180322740776,0.8982307249712296,0.2692307692307692,0.07692307692307693,0.6538461538461539,0.5200665897668736,0.4807692307692308,0.5192307692307693,0.1346153846153846
120,moisture_12in,2,1.0,1.0,1.0,2.875,0.8696960000000002,,,0.9850407978241162,0.0,0.0,1.0,0.0764548611111111,0.0,0.0,0.0
120,moisture_16in,5,0.8,0.8,0.4,2.75,0.719328,0.9949937095069148,3.453818422458456,1.0,0.2,0.0,0.8,0.1489059969028262,0.4,0.4,0.0
120,moisture_20in,9,0.5555555555555556,0.5555555555555556,0.3333333333333333,2.75,1.046479999999999,0.9727991716681581,3.8801969976614,1.0,0.2222222222222222,0.0,0.7777777777777778,0.1955468045112782,0.2222222222222222,0.2222222222222222,0.0
120,moisture_4in,24,1.0,1.0,0.625,2.875,0.9982199999999999,0.9944471771535919,2.829156417386115,1.0,0.16666666666666666,0.041666666666666664,0.75,0.20280904029522015,0.375,0.375,0.041666666666666664
120,moisture_8in,18,0.9444444444444444,0.9444444444444444,0.6111111111111112,3.0,0.861568000000001,0.9916485298102704,4.9327059155752835,1.0,0.16666666666666666,0.05555555555555555,0.7777777777777778,0.24163337064170395,0.3333333333333333,0.3333333333333333,0.05555555555555555
