ID,year,first_utc,last_utc,rows_n,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n
304,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35102,35101,35102,35102,35102,35102
304,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035
311,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35037,35037,35037,35037,35037,35037
311,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131
311,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
315,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,27230,35036,35036,35036,35036
315,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35128,0,35128,35128,35128,35128
315,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,0,35030,35030,35030,35030
320,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35036
320,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
320,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34249,24566,34249,34249,34249,34249
335,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34967,29335,34967,34967,34967,34967
335,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
335,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
340,2023,2023-05-02 20:15:00,2023-12-31 23:45:00,23343,17645,23343,23343,23343,23343
340,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35120,29736,35118,35120,35120,35120
340,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,4683,35035,35035,35035,35035
380,2023,2023-05-03 20:45:00,2023-12-31 23:45:00,23244,23226,23244,23244,23244,23244
380,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
380,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035
395,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35032,30084,35032,35032,35032,35032
395,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35035
395,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34937,34936,34937,34937,34937,34937
400,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34844,34761,34844,34844,34844,34844
400,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131
400,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035
405,2023,2023-08-29 14:45:00,2023-12-31 23:45:00,11922,11909,11922,11922,11922,11922
405,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35123,35123,35123,35123,35123,35123
405,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35028,33846,35028,35028,35028,35028
410,2023,2023-03-24 22:15:00,2023-12-31 23:45:00,27079,0,0,0,0,0
410,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,0,0,0,0,0
410,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,0,0,0,0,0
415,2023,2023-12-19 14:45:00,2023-12-31 23:45:00,1189,1189,1189,1189,1189,1189
415,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131
415,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35032,35032,35032
420,2023,2023-08-14 15:45:00,2023-12-31 23:45:00,13375,13375,13375,13375,13375,13375
420,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
420,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034
425,2023,2023-08-14 18:30:00,2023-12-31 23:45:00,13366,13366,13366,13366,13366,13366
425,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
425,2025,2025-01-01 00:00:00,2025-01-18 09:00:00,1669,1669,1669,1669,1669,1669
430,2023,2023-08-23 11:30:00,2023-12-31 23:45:00,12530,12530,12530,12530,12530,12530
430,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
430,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35029,35030,35030,35030,35030
435,2023,2023-05-02 20:00:00,2023-12-31 23:45:00,23329,23329,23329,23329,23329,23329
435,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,34608,1870,34608,34608,34608,34608
435,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34990,1,34990,34990,34990,34990
440,2023,2023-08-29 14:45:00,2023-12-31 23:45:00,11940,11940,11940,11940,11940,11940
440,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35118,34984,35118,35118,35118,35118
440,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35023,29519,35023,35023,35023,35023
450,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35029,35024,35029,35029,35029,35029
450,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
450,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35032,35032,35032
455,2023,2023-05-03 11:00:00,2023-12-31 23:45:00,23281,23281,23281,23281,23281,23281
455,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35130,35130,35130,35130,35130,35130
455,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
460,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34954,34954,34954,34954,34954,34954
460,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35130,35130,35130,35130,35130,35130
460,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,35031,35031,35031
470,2023,2023-05-03 12:30:00,2023-12-31 23:45:00,23277,23277,23277,23277,23277,23277
470,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35125,35125,35125,35125,35125,35125
470,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35028,35028,35028,35028,35028,35028
480,2023,2023-05-04 12:15:00,2023-12-31 23:45:00,23178,23178,23178,23178,23178,23178
480,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35124,35124,35124,35124,35124,35124
480,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35030
490,2023,2023-08-23 10:30:00,2023-12-31 23:45:00,12374,12374,12374,12374,12374,12374
490,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35129,35129,35129,35129,35129,35129
490,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035
