ID,year,first_utc,last_utc,rows_n_soil,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n,rows_n_wx,rain_2m_inches_n,rain_total_inches
275,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,72.09999984316528
275,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,18905,35036,35036,35036,35036,35036,35036,41.12999989464879
280,2023,2023-03-17 16:45:00,2023-12-31 23:45:00,27767,27767,27767,27767,27767,27767,35017,35017,41.34999985806644
280,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35123,35123,35123,35123,35123,35123,35027,35027,64.34999971650541
280,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,35031,35031,35031,35031,35031,41.59999984316528
290,2023,2023-03-17 17:15:00,2023-12-31 23:45:00,27769,27766,27769,27769,27769,27769,35016,35016,48.639999717473984
290,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35130,35130,35130,35130,35130,35130,35034,35034,59.67999959923327
290,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35014,35034,35034,35034,35034,35034,35034,46.829999785870314
302,2023,2023-02-14 14:15:00,2023-12-31 23:45:00,30754,30754,30754,30754,30754,30754,35019,35019,44.479999693110585
302,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,48.25999973528087
302,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,37.46999967843294
303,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34255,34255,34255,34255,34255,34255,35012,35012,45.789999917149544
303,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35127,35126,35127,35127,35127,35127,35031,35031,56.999999864026904
303,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034,35034,35034,35.6399997882545
304,2023,2023-05-02 20:15:00,2023-12-31 23:45:00,23338,23338,23338,23338,23338,23338,35001,35001,40.279999658465385
304,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35102,35101,35102,35102,35102,35102,35006,35006,52.51999965682626
304,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,43.29000001400709
311,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35037,35037,35037,35037,35037,35037,35036,35036,42.02999979443848
311,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131,35035,35035,66.77999973110855
311,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,45.14999972656369
315,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,27230,35036,35036,35036,35036,35036,35036,50.89999986439943
